Country,Date,Covid Deaths,Surplus Deaths,Max Deaths,Overall Deaths
Croatia,2022W15,1.7837876004464424e-05,0.0,0.0,0.0
Liechtenstein,2022W15,8.534972047966543e-06,0.0,0.0,0.0
Latvia,2022W15,2.5001456951100497e-05,0.0,0.0,0.0
Luxembourg,2022W15,1.5229572679196929e-05,0.0,0.0,0.0
Norway,2022W15,2.7451283709202617e-05,0.0,0.0,0.0
Belgium,2022W15,1.3818250655047103e-05,0.0,0.0,0.0
Portugal,2022W15,1.4500842796751657e-05,0.0,0.0,0.0
Europe**,2022W15,1.523299072269524e-05,0.0,0.0,0.0
Serbia,2022W15,8.58613060494238e-06,0.0,0.0,0.0
Romania,2022W15,7.568789271123164e-06,0.0,0.0,0.0
North Macedonia,2022W15,9.34515592231533e-06,0.0,0.0,0.0
Montenegro,2022W15,5.906937805851842e-06,0.0,0.0,0.0
Switzerland,2022W15,5.382358934139149e-06,0.0,0.0,0.0
Estonia,2022W15,1.8796031481097207e-05,0.0,0.0,0.0
Ireland,2022W15,1.4781304605934414e-05,0.0,0.0,0.0
Cyprus,2022W15,2.2693275089740742e-05,0.0,0.0,0.0
Bulgaria,2022W16,1.3686981810386723e-05,0.0,0.0,0.0
Sweden,2022W16,1.0405330997914598e-05,0.0,0.0,0.0
Netherlands,2022W16,3.9865529182950256e-06,0.0,0.0,0.0
Italy,2022W16,1.6560815594339228e-05,0.0,0.0,0.0
Poland,2022W16,5.329457223499192e-06,0.0,0.0,0.0
Malta,2022W16,3.1001743848091457e-05,0.0,0.0,0.0
Denmark,2022W16,1.8664239744727993e-05,0.0,0.0,0.0
Austria,2022W16,2.1344882855402e-05,0.0,0.0,0.0
France,2022W16,1.2307234733542898e-05,0.0,0.0,0.0
Hungary,2022W16,1.8429507271708077e-05,0.0,0.0,0.0
Finland,2022W16,2.770854156151727e-05,0.0,0.0,0.0
Greece,2022W16,3.883144083124755e-05,0.0,0.0,0.0
Lithuania,2022W16,1.800396802686049e-05,0.0,0.0,0.0
Slovenia,2022W16,1.232825203878468e-05,0.0,0.0,0.0
Czechia,2022W16,1.1399975910542708e-05,0.0,0.0,0.0
Albania,2022W16,4.7118564325616134e-07,0.0,0.0,0.0
Germany,2022W16,1.694024582429254e-05,0.0,0.0,0.0
Spain,2022W16,9.613485490827684e-06,0.0,0.0,0.0
Iceland,2022W16,1.1750074115852115e-05,0.0,0.0,0.0
Slovakia,2022W16,2.6679946808611307e-05,0.0,0.0,0.0
United Kingdom,2022W16,1.918062606123628e-05,0.0,0.0,0.0
Croatia,2022W16,1.536039322606659e-05,0.0,0.0,0.0
Liechtenstein,2022W16,0.0,0.0,0.0,0.0
Latvia,2022W16,1.8310926217707406e-05,0.0,0.0,0.0
Luxembourg,2022W16,1.1028311250452949e-05,0.0,0.0,0.0
Norway,2022W16,2.1825007093127306e-05,0.0,0.0,0.0
Belgium,2022W16,1.4222124369390863e-05,0.0,0.0,0.0
Portugal,2022W16,1.4436106891409014e-05,0.0,0.0,0.0
Europe**,2022W16,1.4279208868034776e-05,0.0,0.0,0.0
Serbia,2022W16,6.548743681735714e-06,0.0,0.0,0.0
Romania,2022W16,5.936986079642481e-06,0.0,0.0,0.0
North Macedonia,2022W16,7.250552008692928e-06,0.0,0.0,0.0
Montenegro,2022W16,4.295954767892248e-06,0.0,0.0,0.0
Switzerland,2022W16,3.998323779646225e-06,0.0,0.0,0.0
Estonia,2022W16,1.6289893950284246e-05,0.0,0.0,0.0
Ireland,2022W16,1.3982315167775798e-05,0.0,0.0,0.0
Cyprus,2022W16,2.455337960529326e-05,0.0,0.0,0.0
Bulgaria,2022W17,1.0650785141181218e-05,0.0,0.0,0.0
Sweden,2022W17,8.542648288411367e-06,0.0,0.0,0.0
Netherlands,2022W17,2.918385629182483e-06,0.0,0.0,0.0
Italy,2022W17,1.6031859880486733e-05,0.0,0.0,0.0
Poland,2022W17,3.7350245665515004e-06,0.0,0.0,0.0
Malta,2022W17,2.5188916876574308e-05,0.0,0.0,0.0
Denmark,2022W17,1.5582071713488508e-05,0.0,0.0,0.0
Austria,2022W17,1.608329459908787e-05,0.0,0.0,0.0
France,2022W17,1.307089421460741e-05,0.0,0.0,0.0
Hungary,2022W17,1.644268306769494e-05,0.0,0.0,0.0
Finland,2022W17,3.644275574938684e-05,0.0,0.0,0.0
Greece,2022W17,3.3618538404544705e-05,0.0,0.0,0.0
Lithuania,2022W17,1.5738568076460825e-05,0.0,0.0,0.0
Slovenia,2022W17,9.641325312382892e-06,0.0,0.0,0.0
Czechia,2022W17,8.56555567048974e-06,0.0,0.0,0.0
Albania,2022W17,4.7118564325616134e-07,0.0,0.0,0.0
Germany,2022W17,1.5721638457850293e-05,0.0,0.0,0.0
Spain,2022W17,9.507997354498192e-06,0.0,0.0,0.0
Iceland,2022W17,1.2653925970917663e-05,0.0,0.0,0.0
Slovakia,2022W17,2.014732825364241e-05,0.0,0.0,0.0
United Kingdom,2022W17,1.6489836798929863e-05,0.0,0.0,0.0
Croatia,2022W17,1.2635162169828967e-05,0.0,0.0,0.0
Liechtenstein,2022W17,8.534972047966543e-06,0.0,0.0,0.0
Latvia,2022W17,1.566992724399961e-05,0.0,0.0,0.0
Luxembourg,2022W17,9.977995893266953e-06,0.0,0.0,0.0
Norway,2022W17,1.6384212123735794e-05,0.0,0.0,0.0
Belgium,2022W17,1.2750870124281463e-05,0.0,0.0,0.0
Portugal,2022W17,1.314138878455619e-05,0.0,0.0,0.0
Europe**,2022W17,1.3019591389158598e-05,0.0,0.0,0.0
Serbia,2022W17,5.53005022013238e-06,0.0,0.0,0.0
